shellnoun,label_A,label_B,rating_A,rating_B,comment_A,comment_B
fact,L,L,1,3,,"In meinen Augen keine Koreferenz i. e. S., da 'Tatsache' hier erst die Proposition als Diskursreferent verfügbar macht."
fact,L,L,1,3,,"Ich musst erst überlegen, ob der erste Abschnitt (NWO) nicht doch irgendwie mit dem Ganzen zu tun haben könnte, was dann wohl eine Annotations als 'global' nach sich gezogen hätte, doch scheint es hier für die Interpretation von 'Tatsache' nicht zwingend notwendig zu sein."
fact,L,L,2,2,,Scheint ein normaler Fall von Zugänglichmachung als Diskursreferent durch das SN 'Tatsache' zu sein.
fact,L,L,4,2,,Hier scheint sich 'Tatsache' auf die im Satz zuvor genannte Proposition zu beziehen und diese als Diskursreferenten bereitzustellen.
fact,L,L,3,2,,'Tatsache' stellt hier scheinbar die im letzten Satz genannte Proposition als Diskursreferent bereit.
fact,L,L,4,3,"die Antendenz ist *nicht* im Vorsatz, sondern zwei Sätze davor!","Musste tatsächlich ein wenig überlegen, doch ich persönlich schätze 'Tatsache' als Referenz in Bezug auf die mögliche Warnung potentieller Opfer dar."
fact,L,L,1,1,,"In meinen Aufen relativ klar 'lokal', da der Antezedent sich noch im selben Satz befindet."
fact,L,L,3,2,,"Zwar befindet sich der Antezedent im vorigen Paragraphen, doch ist die Distanz gerade mal ein einziger Satz. In meinen Augen 'lokal'."
fact,G,L,5,3,"Es handelt sich um einen Interviewauszug, und der Kurztext bezieht sich nur auf die beschriebene Tatsache. Auf der anderen Seite wird sie im nächsten Teilsatz wieder explizit gemacht.","Zwar gibt es einige Sätze Distanz zwischen SN und Antezedent, aber der 'kognitive Bezug' ist meines Erachtens nach da."
fact,L,L,1,2,,Antezedent ist im Satz davor zu finden. 'Kognitiver Bezug' ist gegeben.
fact,L,L,2,1,,Antezedent befindet sich im selben Satz. 'Kognitiver Bezug' gegeben.
fact,L,L,3,3,"wahrscheinlich nur koreferent zu ""das""?","Schätze ich als 'lokal' ein. 'Kognitiver Bezug' gegeben. Ein wenig verwirrend ist 'Das' zu Beginn des Satzes, in dem 'Tatsache' vorkommt. Es scheint sich aber nicht exakt auf dasselbe zu beziehen."
fact,L,L,1,5,,"Es ist iregendwie schwierig, dieses Vorkommen von 'Tatsache' einzuschätzen. Da es -- anders als im Beispiel in den Guidelines -- keine weitere Referenz(en) auf das von Tatsache referierte gibt, würde ich zu 'lokal' tendieren. Für 'unklar' ist es in meinen Augen 'zu klar'."
fact,U,L,5,2,Es werden so viele Fakten genannt dass die Auflösung unklar ist,Antzedent von 'Tatsache' ein Satz entfernt. 'Kognitiver Bezug' existent. Scheinbar.
fact,L,L,1,4,,"In meinen Augen 'lokal', da 'kognitiver Bezug' existent."
fact,G,L,4,4,"Scheinbar viele Texte zu einem Thema, die Tatsache ist nicht mehr lokal zu sehen","Ich musste tatsächlich erst überlegen, aber der Antzedent zu Tatsache befindet sich scheinbar im selben Satz, konkret die Homosexualität des Schreibenden. Es hätte aber -- auf den ersten Blick -- auch sein können, dass sich 'Tatsache' auf etwas bezieht, das im ursprünglichen Artikel vorzufinden war, doch dem ist offensichtlich nicht so."
fact,L,U,2,5,,"Ich bin hier zugegebnermaßen sehr unsicher. Ich dachte erst an einen 'lokalen' Bezug, bei dem 'Tatsache' auf 'mehrere Zweierteams et al.' bezieht. Es könnte aber auch ein Bezug auf 'Lauterbach ist der bekannteste et al.' beziehen. In beiden Fällen könnte man wohl von 'lokal' ausgehen, doch diesen Datenpunkt würde ich gerne offen lassen."
fact,U,L,5,2,"die Tatsache, dass sie ein Kind bekommen hat, kann nicht gemeint sein, sondern die Tatsache, dass sie schwanger ist. Diese wird jedoch nur inferiert. Daher unklar, wo die Antezedens ist",In meinen Augen 'lokal'. 'Kognitiver Bezug' existent.
fact,L,L,1,1,,Relativ klar: 'lokal'. 'Kognitiver Bezug' existent. Antezedent ist hier wohl 'Positionierung von Journalisten et al.'.
decision,L,L,2,4,,"Man könnte wohl 'global' im Sinne des gesamten Themas des Textes in Betracht ziehen und so unpassend wäre es wohl nicht. Allerdings ist hier die konkrete 'Entscheidung' tatsächlich evaluierbar und dem Absatz zuvor entnehmbar, weswegen ich eher zu 'lokal' tendiere. Zumindest handelt es sich offensichtlich nicht um eine 'nicht auflösbare Anapher'."
decision,L,L,1,2,,Wohl 'lokal'. 'Kognitiver Bezug' existent.
decision,L,G,1,4,,Scheint eher 'global' zu sein.
decision,L,U,2,5,,"Unsicher. Komme zu keiner eindeutigen Lösung. Könnte 'global' (offen sagen, dass man Krebs hat) aber auch 'lokal' (Aufgabe eines Amtes) sein."
decision,L,L,1,2,,'Koreferenz' mit der 'Entscheidung' im vorigen Satz.
decision,L,L,3,2,scheint auf die erste Nennung der ENtscheidung zu referieren,"'Koreferenz' zur 'Entscheidung' im vorigen Abschnitt, welche kataphorischer Natur (Antezedent folgt) ist."
decision,L,L,3,4,,"Eine schwierige Entscheidung, denn es *könnte* sein, dass 'Entscheidung' auf 'Festlegung' referiert, also Koreferenz besteht. Dann gilt X = ein politische Festlegung, und 'Entscheidung' = Y = X. Warum ich mich dagegen entscheide? Schwer zu sagen. Der Bezug von 'Entscheidung' -> 'Festlegung' wäre hier etwas schwammig. Es wird ja von 'einer *politischen* Entscheidung' gesprochen: Das *politische* ist hier viel ausschlaggebender. Es ist semantisch-pragmatisch vielleicht nicht dasselbe mit 'Festlegung' und 'Entscheidung' gemeint."
decision,L,L,1,1,,'Lokal'. Salienter Antezedent noch im selben Satz. Relativ eindeutig.
decision,L,L,2,4,,"Ich entscheide mich für 'lokal', weil es einen klar ermittelbaren Antezedenten gibt. Es ist zwar auch Thema des Textes (also der Referent), aber die Ermittelbarkeit spricht gegen ein umfassendes 'global'."
decision,L,L,1,2,,"'Lokal' im Sinne des gesamten Textes. Im Teilabschnitt selbst auch 'lokal', aber zusätzlich noch 'global' denkbar. Es gibt jedoch einen klar ermittelbaren, recht salienten Antezedenten -- trotz der Distanz."
decision,L,L,1,2,,"Eher 'lokal', aber ich finde die DP ist in Bezug auf D0 irreführen: Ich hätte ""für *eine (solche) Entscheidung* erwartet."
decision,L,U,3,5,,"Betrachtet man nur den einen Leserbrief, dann liegt die 'Entscheidung' außerhalb: Es wird nirgens konkret genannt, um was für eine 'Entscheidung' es sich eigentlich handelt. "
decision,L,L,1,4,,"Typisches Interview. An sich 'lokal'. Im Skopus 'Frage-Antwort' auch 'lokal', zusätzlich aber auch 'global' denkbar. Jedoch gibt es ja einen Antezedenten, einen ermittelbaren solchen. Das SN passt hier meiner Meinung nach nicht: 'Ereignis' wäre wohl besser gewesen."
decision,L,U,1,5,,"Kann ich nicht genau entscheiden. Vor allem nicht so, dass ich noch einmal später zum selben Ergebnis kommen würde."
decision,L,L,1,2,,"Wie so oft bei den Interviews: 'lokal' für den Text, aber sowohl 'lokal' *als auch* 'global' denkbar, wenn man sich auf den Skopus 'Frage-Antwort' beschränken würde."
decision,L,L,1,2,,Relativ eindeutig: 'lokal'. 'Kognitive Verbindung' existent: Proposition bzw. Resultat des vorigen Satzes ist hier scheinbar Antezdent.
decision,L,L,3,2,,'Lokal'. Salienter Antezedent. Nicht (direkt) Thema des Textes. Eher ein kleiner Teil dessen. Ein Aspekt.
decision,L,L,1,2,,"'Lokal'. Salienter Antezedent. 'Kognitiver Bezug' existent. Zwar auch (Teil des) Thema(s) des Textes, aber nicht 'nicht auflösbar'."
decision,G,G,3,4,,Eher 'global' als 'lokal'. Die 'Entscheidung' scheint ja Thema des Textes zu sein. Einen klar ermittelbaren Antezedenten gäbe es aber wohl doch!? Schwer.
decision,L,L,1,4,,Eher 'lokal': Referent als Teil des Themas.
problem,L,L,4,4,"nicht ganz klar, aber das Problem scheint der Konflikt zu sein",Eher 'lokal': Referent wäre dann hier der 'Konflikt mit den Palästinensern'. 'global' nicht undenkbar.
problem,L,U,1,5,,Komme hier zu keinem Ergebnis.
problem,L,L,1,4,,"Tendenz zu 'lokal', weil es einen klar ermittelbaren Antezedenten gibt. Der ist zudem recht salient (vorangehender Satz)."
problem,L,L,3,3,bezieht es sich auf den gesamten letzten Absatz oder den letzten Satz?,Eher 'lokal' als 'global'. Referent *scheint* nur ein Teil des Themas zu sein.
problem,G,L,5,4,"fiktiver Text, wenig Kontext",Eher 'lokal' als 'global'. Antezedent durchaus ermittelbar.
problem,L,L,1,2,,Antezedent im darauffolgenden Satz vorzufinden: 'lokal'. Auch der 'kognitive Bezug' ist gegeben. Referent ist maximal ein Teil des Themas. In jedem Falle ist 'Problem' hier auflösbar.
problem,L,U,3,5,"Nennung ist ein paar Sätze entfernt, aber noch lokal",Komme zu keiner Entscheidung.
problem,L,L,2,3,recht eindeutige Koreferenz,"An sich auch 'global' (im Rahmen des vorliegenden Leserbriefes) klassifizierbar. Jedoch gibt es einen konkreten, ermittelbaren Antezedenten, der gleichzeitig das Thema darstellt. 'Problem' ist also auflösbar. Ich würde deswegen zu 'lokal' tendieren."
problem,L,L,1,2,,"Definitiv 'lokal'. Salienter Antezedent und 'kognitiver Bezug' existent. Das 'Problem' hier in wörtlicher Rede steht, ist kein Problem."
problem,L,L,3,2,"etwas unklar, was genau im Skopus des Problems ist","In meinen Augen 'lokal'. Salienter Antezedent in Form des vorangehenden Satzes gegeben. Gleichzeitig ist der SC von 'Problem' hier nicht (ausschließlich, sondern nur in Teilen) das Thema i. e. S."
problem,L,L,5,2,koreferiert (?) auf die Probleme des Buchs,Eher 'lokal'. Salienter Antezedent. Man betrachte die Sätze vorher.
problem,L,L,1,2,,"Wie so oft bei den Interviews: Im gesamten Rahmen des Textes 'lokal', aber im Skopus 'Frage-Antwort' durchaus 'global'. Referiert auf vorige Sätze bzw. deren Inhalt. Durchaus salient."
problem,L,L,4,2,"das Problem wird explizit benannt und ist eine spezifischere Nennung als das genannte Problem in der Einleitung, daher keine (?) Korferenz","Im Skopus 'Frage-Antwort' wohl auch als 'global' *oder* 'lokal' klassifizierbar, aber im Rahmen des Textes doch eher eindeutig 'lokal'."
problem,G,G,3,4,,"Ich tendiere hier eher zu 'global', da es das Thema des Textes gut trifft. Ein entsprechender Antezdent wäre recht lang und würde wohl den gesamten Abschnitt zuvor umfassen. Selbiger scheint auch nicht zu salient zu sein."
problem,L,L,1,1,,In meinen Augen 'lokal': Salienter Anztezedent direkt im vorangehenden Satz.
problem,L,L,1,4,,Eher 'lokal'. Antezedent ermittelbar. Aber doch Teil des Themas.
problem,G,G,4,4,generelle Referenz auf das Umweltproblem,"SN referiert hier eher auf das Thema, dass ja *scheinbar* der Klimawandel zu sein scheint."
problem,L,L,2,2,,"Tendenz zu 'lokal'. Salienter Antezedent existent. Zwar mit etwas Distanz, aber 'kognitiver Bezug' vorhanden. Thema ist viel mehr und durchaus abweichend davon, dass 'Kinder auswärts frühstücken et al.'."
problem,U,L,5,2,"ist zu nah am Textbeginn um zu sagen, wie weit der Skpous des Problems ist","Eher 'lokal'. Salienter Antezedent existent (direkt im Satz zuvor). Thema ist eher 'übergewichtige Mütter et al.', wohingegen Problem nur auf 'Übergewicht der Kinder' zu referieren scheint."
problem,L,U,1,5,,Unsicher. SN 'Problem' hier irgendwie unpassend.
issue,G,L,3,4,,"Schwer. Sehr schwer. Tendentiell 'lokal', geht es doch um die Spitzeleien als nur gerine Teilmenge des Themas als Ganzes. Man könnte 'Koreferenz' mit ""Spitzelaktionen"" vermuten, doch könnte man diese auch 'ganz allgemein' als Menge dieser Tätigkeiten auffassen, wohingegen 'Angelegenheit' dann auf die konkrete solche referiert. Die Distanz ist zwar groß, doch fehlt für 'global' zu viel vom Thema. Für mich zumindest."
issue,L,L,4,4,auf die katholische Angelegenheit?,"Tendenz zu 'lokal'. Grund: Thema des Textes ist hier eher der konkret vorliegende Missbrauchsfall. Referent von 'Angelegenheit' ist hier aber eher die Missbrauchsfälle der Kirche als solches, also 'der Skandal'."
issue,L,L,3,4,,"Wie so oft kann man argumentieren, dass 'Angelegenheit' hier auch 'global' sein könnte. Jedoch ist ein klarer Entezedent ermittelbar. Dieser ist zudem sehr salient, wird er doch direkt zuvor genannt. Doch das, was genannt wird, ist auch Thema des Textes. Es handelt sich jedoch nicht um eine 'nicht auflösbare Anapher'. Daher 'lokal'."
issue,U,G,5,3,durch wörtl. Rede keine klare Auflösung möglich,"'Angelegenheit' dürfte hier eher 'global' als 'lokal' sein, also auf das Thema des Textes verweisen. 'Angelegenheit' hier in direkter Rede, wobei das Thema des Textes erst noch folgt. Man könnte argumentieren, dass es lokal um die 'Einsparung' geht, aber auch das ist ja Teil des Themas. Zudem scheint es um alles zu gehen: Nicht nur um die Einsparung, sondern auch um das, was die Einsparungen nach sich ziehen. Man könnte wegen der direkten Rede und dem bis dato nicht genannten Thema zu 'unklar' [X] tendieren, doch auch dann stellt sich wieder die Frage: Was wäre mit der Kohärenz?"
issue,U,L,5,2,durchs Zitat nicht entscheidbar ob lokal oder global,In meinen Augon 'lokal'. 'Kognitiver Bezug' existent. Antezedent im Satz bzw. den Sätzen vorher zu finden.
issue,L,L,1,2,,In meinen Augen 'lokal'. Antezedent ermittelbar (im Satz vorher). 'Kognitiver Bezug' existent. Geringe Distanz.
issue,G,G,3,3,," Eher 'global', also auf das Thema des Textes beziehende Angelegenheit."
issue,L,U,5,5,,"Kann nicht eindeutig entscheiden, ob hier 'lokal' (Managergehälter) oder 'global' (Bankenkrise an sich) vorliegt."
issue,L,L,1,3,,"Es geht hier bei 'Angelegenheit' eher um die Freundschaft Berlusconis zu einer anderen Person. Das ist aber nur ein Teil des Themas -- wenn man das gesamte Interview betrachtet. Im reinen 'Frage-Antwort'-Abschnitt könnte man wohl zu 'global' tendieren, doch gibt es ja durchaus einen Referenten, den man ermitteln könnte (Freundschaft ... et al.)."
issue,L,L,2,3,,"Ich tendiere hier zu 'lokal'. Thema des Textes ist das Gespräch über die Veränderung der Welt in Bezug auf die Bedeutung jener Entwicklung für Gehörlose und Blinde. Hier scheint 'Angelegenheit' jedoch eher auf den Sachverhalt, dass das Tonaufnahmegerät bei der Kommunikation zwischen einem Blinden und einem Gehörlosen nicht sehr viel bringt zu referieren."
issue,G,U,2,5,,"Ich tendiere zwar hier zu 'lokal' doch könnte es sich auch auf das Thema i. e. S. beziehen, zumal 'die Freundschaft et al.' ja auch Teil des Themas ist. Eine halbwegs klare Entscheidung kann ich jedoch nicht treffen."
issue,L,L,4,4,,In meinen Augen referiert hier 'Angelegenheit' auf die 'Privatisierung der Bahn'. Das Thema des Textes ist aber mehr als nur das. Daher 'lokal'.
issue,L,U,2,5,,"Sehr schwer. Zuerst einmal ist 'Angelegenheit' in direkter Rede vorzufinden. Hinzu kommt, dass man 'Angelegenheit' mit 'die Verhaftung von X et al.' in Verbindung bringen könnte. Das wäre dann wohl 'lokal' im Sinne des gesamten Interviews, aber tendentiell 'global' im Sinne des Abschnittes bestehen aus 'Frage+Antwort'. Es gibt allerdings einen weiteren Punkt, der mich beschäftigt: Aus irgendwelchen Gründen habe ich das Gefühl, dass sich 'Angelegenheit' auf sehr viel mehr bezieht, nämlich den o. g. Fall *inklusive allem, was dazu gehört*, doch das wird ja nirgends genannt. Vielleicht liegt der Referent (ggf. auch in Form eines Themas, also ohne konkret ermittelbaren Antezedenten') daher auch außerhalb."
issue,L,U,3,5,"ist einige Sätze entfernt, aber noch lokal","Wirklich nicht einfach. 'Angelegenheit' könnte sich hier 'lokal' auf den Selbstmord beziehen. Es wäre dann wohl anaphorisch. Es könnte sich aber auch auf das Thema des Textes beziehen, *welches jedoch erst noch folgt*, also 'kataphorische Züge' hätte -- natürlich ohne konkreten Antezedenten, sondern dahingehend, dass das Thema i. e. S. erst noch folgt."
issue,G,G,4,3,,'Angelegenheit' hier in *indirekter* Rede. In meinen Augen hier mit Bezug auf das gesamte Thema des Textes.
issue,L,L,2,2,,'Angelegenheit' hier als Zusatz in Klammern. Antezedent eindeutig 'lokal' -- zumindest meiner Meinung nach.
issue,G,L,3,4,,"'Angelegenheit' hier in wörtlicher Rede. Thema des Textes ist eher die Geschichte um Wallace und Darwin. Bein Angelegenheit geht es aber um den zuvor geschilderten, konkreten Sachverhalt. Ich tendiere daher zu 'lokal', aber klar ist auch, dass 'unklar' [X] wohl auch in Betracht käme."
issue,G,G,1,3,,"Ich würde vermuten, dass 'Angelegenheit' sich hier auf das Thema des Textes als solches bezieht."
issue,U,U,5,4,durch wörtl. Rede nicht klar auflösbar,"'Angelegenheit' ist hier in direkter Rede. Es erscheint schwer, eine Beurteilung vorzunehmen. Einerseits scheint sich hier 'Angelegenheit' auf das Thema als solches zu beziehen. Andererseits ist dieses in den vorigen Sätzen beschrieben. Es gibt durchaus einen 'kognitiven Bezug'. Theoretisch *muss* Angelegenheit hier auf exakt den zuvor geschilderten Sachverhalt referieren. Ansonsten dürfte es wohl keine Kohärenz geben. Allerdings kann ich persönlich keine Kategorisierung wahrnehmen, die ich bei einer zweiten Sichtung des Textes konsistent ähnlich ausfallen würde. Daher unklar."
issue,G,G,1,2,,"Kein direkter, 'kognitiver Bezug' zu vorangehenden Sätzen. Es scheint hier eher das Thema des Textes zu sein, auf welches 'Angelegenheit' referiert."
